Index,Average infiltration rate,High Low Inf,High Med Low Inf,Area,Contributing area,Drainage Area Ratio,Age,Ponding depth,Inlet condition,Outlet condition,Underdrain,% Residential,% Commercial,% Industrial,% Institutional,% Vegetation_shrub,% Vegetation_tree,% Vegetation_grass,% Vegetation_prairie,% Vegetation_bare,% Vegetation_other,Underlying soil_% sand,Underlying soil_% silt,Underlying soil_% clay,Underlying soil_% urban/disturbed,Underlying soil_% other/undefined,Underlying soil_% organic matter,Evidence of poor infiltration,% of surface with poor infiltration,Vegetation condition,Inlet feature_Curb Cut,Inlet feature_Other,Inlet feature_Overland Flow,Inlet feature_Pipe,Outlet feature_Other,Outlet feature_Overland Flow,Outlet feature_Pipe,Outlet feature_Riser Pipe,Engineered soil depth,Engineered soil _% sand,Engineered soil _% silt,Engineered soil _% clay,Engineered soil _% compost,Engineered soil _% other,Area_PC,LandUse_PC_1,LandUse_PC_2,Veg_PC_1,Veg_PC_2,Soil_PC_1,Soil_PC_2,EngSoil_PC_1,EngSoil_PC_2,PoorInf_PC,Inlet_PC_1,Inlet_PC_2,Outlet_PC_1,Outlet_PC_2
NY_2023_18,6.216421147,Low,Low,800,29700,37,12,4,3,3,1,0,60,0,40,0,0,100,0,0,0,14,12,4,70,0,0.3,0,0,2,1,0,0,0,0,0,0,1,12,61,3,1,35,0,0.43398374,0.11885981,-1.49979767,1.650535208,-2.305388353,-1.383009059,-0.591568994,0.160913326,0.403914182,-0.404804717,0.98485969,1.529803864,1.097769134,-0.114828893
NY_2023_19,15.24274967,High,High,5081,39000,8,10,6,2,3,1,70,0,0,30,10,40,0,40,0,10,40,43,17,0,0,0.5,0,0,3,0,0,0,1,0,0,0,1,24,89,4,2,5,0,0.319373558,-0.792149871,0.840359841,0.280458696,0.886890393,1.04414147,0.393806069,0.86388604,0.633038555,-0.404804717,0.98485969,-1.529803864,1.097769134,-0.114828893
OH_2022_09,18.68311224,High,High,4000,130680,33,6,0,3,2,1,0,0,0,100,0,0,0,90,0,10,17,47,36,0,0,0.46,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.092280206,1.444004353,0.403568291,-1.584489847,-0.25916107,1.922388008,-0.621911403,-1.273870942,-0.131969484,-0.404804717,-1.570929293,9.55E-15,-0.766373596,5.503291886
OH_2022_16,18.3826404,High,High,2300,43560,19,6,10.8,3,3,1,30,0,0,70,0,30,0,60,10,0,95,1,4,0,0,0.28,0,0,3,1,0,0,0,0,0,1,0,24,80,0,10,0,10,0.419793571,0.485652543,0.59076467,-0.536839833,0.500535898,-0.727537407,2.43528604,1.121927833,0.107353405,-0.404804717,0.98485969,1.529803864,-0.766373596,5.503291886
OH_2023_02,4.40219592,Low,Low,15200,60000,4,6,0,3,3,1,100,0,0,0,0,15,50,15,20,0,49,13,13,25,0,0.31,0,0,2,0,0,1,0,0,1,0,0,24,70,0,20,10,0,-0.309880657,-1.750501681,1.027556219,0.711338411,-0.74056829,-0.361402798,0.661467924,2.039507577,-0.778521997,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_03,7.71982988,Low,Medium,5500,50000,9,5,0,3,3,0,40,0,0,60,0,0,0,70,30,0,14,44,22,0,20,0.6,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0,0.26985415,0.16620194,0.653163462,-1.470507458,0.056632394,1.094825647,-0.5266996,1.256658406,-0.677624992,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_04,10.36840446,Low,Medium,53000,3600000,68,7,0,3,3,0,0,0,0,100,0,15,0,85,0,0,25,23,17,35,0,0.23,0,0,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0,-8.896901655,1.444004353,0.403568291,-1.209661277,0.062773563,-0.045607216,-0.251642482,1.34693213,0.152661239,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_05,18.9704596,High,High,1830,27000,15,9,15,3,3,1,0,0,0,100,25,15,40,0,20,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0,0.498461176,1.444004353,0.403568291,1.231856503,0.129343896,1.760542187,-0.441397602,1.256658406,-0.677624992,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_06,13.6673056,High,Medium,1250,20000,16,9,15,3,3,1,0,0,0,100,25,0,0,45,30,0,20,51,29,0,0,0.4,0,0,3,0,0,1,0,0,1,0,0,24,70,10,10,10,0,0.539935734,1.444004353,0.403568291,-0.606986954,0.722714092,1.760542187,-0.441397602,1.256658406,-0.677624992,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_07,16.62,High,High,10000,140000,14,6,12,3,3,1,0,0,0,100,10,0,80,10,0,0,5,47,48,0,0,0.27,0,0,3,0,0,1,0,0,1,0,0,18,70,10,10,10,0,-0.182848844,1.444004353,0.403568291,1.309938587,-1.631294699,2.399696264,-1.184926035,1.256658406,-0.677624992,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_08,14.02323441,High,Medium,4400,100000,23,9,8,3,3,1,0,40,0,60,20,20,15,15,30,0,19,3,3,70,5,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0,0.175058004,0.560574658,-0.865342349,0.494582733,0.723561414,-1.73856998,-0.410530894,1.34693213,0.152661239,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_09,10.48577087,Low,Medium,5000,110000,22,5,8,3,3,1,0,0,0,100,40,10,0,45,5,0,24,3,3,70,0,0.09,0,0,3,0,0,1,0,0,1,0,0,24,80,0,10,10,0,0.127341849,1.444004353,0.403568291,0.033525894,1.072504579,-1.693473626,-0.245259381,1.34693213,0.152661239,-0.404804717,-1.570929293,9.55E-15,-1.805924273,-0.353112576
OH_2023_10,21.46397731,High,High,12300,215000,17,2.5,13,3,2,1,0,0,0,100,30,0,60,0,10,0,0,0,0,100,0,0,1,5,3,0,0,1,0,0,1,0,0,36,80,0,10,10,0,-0.465267651,1.444004353,0.403568291,1.417743983,-0.582863074,-2.325084231,-1.142507202,1.34693213,0.152661239,2.076620993,-1.570929293,9.55E-15,-1.805924273,-0.353112576
